video,base_video,trait,level,identity,assigned_trait_score,extraversion_score,agreeableness_score,conscientiousness_score,emotional_stability_score,openness_score
conscientiousness_high5_IzKWDY_QNTU.000.mp4,IzKWDY_QNTU.000.mp4,conscientiousness,high,IzKWDY_QNTU,0.9515,0.6729,0.6923,0.9515,0.1146,0.7
conscientiousness_low1_iJGHwoJKEpA.002.mp4,iJGHwoJKEpA.002.mp4,conscientiousness,low,iJGHwoJKEpA,0.0,0.0654,0.1538,0.0,0.875,0.1556
conscientiousness_low2_Jv2lyDcOmEM.002.mp4,Jv2lyDcOmEM.002.mp4,conscientiousness,low,Jv2lyDcOmEM,0.0388,0.1869,0.1648,0.0388,0.875,0.1333
conscientiousness_low3_BLwgxAWf7cg.003.mp4,BLwgxAWf7cg.003.mp4,conscientiousness,low,BLwgxAWf7cg,0.068,0.4019,0.2418,0.068,0.6979,0.4667
conscientiousness_low4_B3zFJhrmqwg.001.mp4,B3zFJhrmqwg.001.mp4,conscientiousness,low,B3zFJhrmqwg,0.0777,0.0374,0.2527,0.0777,0.875,0.1889
conscientiousness_low5_dIa0U29hVvU.001.mp4,dIa0U29hVvU.001.mp4,conscientiousness,low,dIa0U29hVvU,0.0777,0.1121,0.2967,0.0777,0.7917,0.2333
emotional_stability_high1_69BopbFc34U.000.mp4,69BopbFc34U.000.mp4,emotional_stability,high,69BopbFc34U,0.9688,0.1028,0.2418,0.1359,0.9688,0.1889
emotional_stability_high2_ZIk7N-xHvF4.002.mp4,ZIk7N-xHvF4.002.mp4,emotional_stability,high,ZIk7N-xHvF4,0.9583,0.0841,0.1538,0.0874,0.9583,0.4444
emotional_stability_high3_C_NtwmmF2Ys.003.mp4,C_NtwmmF2Ys.003.mp4,emotional_stability,high,C_NtwmmF2Ys,0.9375,0.1121,0.2857,0.1359,0.9375,0.2333
emotional_stability_high4_CqQavmWSLrI.003.mp4,CqQavmWSLrI.003.mp4,emotional_stability,high,CqQavmWSLrI,0.9375,0.1402,0.3626,0.3786,0.9375,0.2
emotional_stability_high5_Gk94xrcmFts.005.mp4,Gk94xrcmFts.005.mp4,emotional_stability,high,Gk94xrcmFts,0.9375,0.1963,0.2418,0.1262,0.9375,0.3778
emotional_stability_low1_f8eU5Pc-y0g.004.mp4,f8eU5Pc-y0g.004.mp4,emotional_stability,low,f8eU5Pc-y0g,0.0521,0.6542,0.8132,0.9029,0.0521,0.8444
emotional_stability_low2_mq9NNKmKYdk.005.mp4,mq9NNKmKYdk.005.mp4,emotional_stability,low,mq9NNKmKYdk,0.0625,0.8598,0.7912,0.7087,0.0625,0.7667
emotional_stability_low3_3ccY8jYkI5o.004.mp4,3ccY8jYkI5o.004.mp4,emotional_stability,low,3ccY8jYkI5o,0.0625,0.8318,0.8242,0.6796,0.0625,0.7222
emotional_stability_low4_mlsiYewUwO0.002.mp4,mlsiYewUwO0.002.mp4,emotional_stability,low,mlsiYewUwO0,0.0729,0.8411,0.8681,0.9223,0.0729,0.8556
emotional_stability_low5_oC-qxnrmJws.003.mp4,oC-qxnrmJws.003.mp4,emotional_stability,low,oC-qxnrmJws,0.0833,0.8598,0.8352,0.8252,0.0833,0.9333
openness_high1_jSw-grsJCnE.003.mp4,jSw-grsJCnE.003.mp4,openness,high,jSw-grsJCnE,1.0,0.8505,0.8132,0.6893,0.1979,1.0
openness_high2_BmDClgdWlH4.002.mp4,BmDClgdWlH4.002.mp4,openness,high,BmDClgdWlH4,0.9778,0.8318,0.7582,0.8544,0.1354,0.9778
openness_high3_h9jIdLBaMEo.002.mp4,h9jIdLBaMEo.002.mp4,openness,high,h9jIdLBaMEo,0.9778,0.7477,0.6923,0.6893,0.1979,0.9778
openness_high4_3S8QUGYVf_w.003.mp4,3S8QUGYVf_w.003.mp4,openness,high,3S8QUGYVf_w,0.9778,0.7477,0.7912,0.7573,0.2917,0.9778
openness_high5_O2wMPdp2-Is.002.mp4,O2wMPdp2-Is.002.mp4,openness,high,O2wMPdp2-Is,0.9667,0.8411,0.7582,0.8447,0.1562,0.9667
openness_low1_PWM-bKcs2p8.004.mp4,PWM-bKcs2p8.004.mp4,openness,low,PWM-bKcs2p8,0.1111,0.1682,0.2967,0.301,0.7396,0.1111
openness_low2_Wa-HX5jP3ew.003.mp4,Wa-HX5jP3ew.003.mp4,openness,low,Wa-HX5jP3ew,0.1222,0.2804,0.2747,0.233,0.7708,0.1222
openness_low3__ZAqTHlu2ts.001.mp4,_ZAqTHlu2ts.001.mp4,openness,low,_ZAqTHlu2ts,0.1333,0.1028,0.1758,0.1359,0.8438,0.1333
openness_low4_2DZb5yIc6Fg.003.mp4,2DZb5yIc6Fg.003.mp4,openness,low,2DZb5yIc6Fg,0.1333,0.0467,0.1978,0.1359,0.8854,0.1333
openness_low5_JmAQlC-FEV8.003.mp4,JmAQlC-FEV8.003.mp4,openness,low,JmAQlC-FEV8,0.1333,0.0935,0.1758,0.2816,0.9375,0.1333
