aoi_name,screen_x_min,screen_y_min,screen_x_max,screen_y_max,vid_x_min,vid_y_min,vid_x_max,vid_y_max,screen_x_min_std,screen_y_min_std,video_file,trait,level
right_eye,990.1,425.0,1124.8,512.8,664.0,268.0,771.8,338.2,7.6,8.8,agreeableness_high4_VZ6jhnbk-5g.004.mp4,agreeableness,high
chin,787.6,484.1,1210.0,832.0,502.1,315.3,840.0,593.6,21.6,19.6,agreeableness_high5_4T9UUWWRE94.000.mp4,agreeableness,high
forehead,766.9,314.4,1210.1,696.1,485.5,179.5,840.1,484.9,19.9,8.3,agreeableness_high5_4T9UUWWRE94.000.mp4,agreeableness,high
left_cheek,784.4,545.7,899.1,718.5,499.5,364.6,591.3,502.8,12.1,25.8,agreeableness_high5_4T9UUWWRE94.000.mp4,agreeableness,high
left_eye,780.1,413.8,916.3,522.4,496.1,259.1,605.0,345.9,11.4,18.2,agreeableness_high5_4T9UUWWRE94.000.mp4,agreeableness,high
mouth,907.5,678.7,1067.8,772.0,598.0,471.0,726.2,545.6,30.4,11.7,agreeableness_high5_4T9UUWWRE94.000.mp4,agreeableness,high
nose,904.5,476.7,1023.5,648.4,595.6,309.3,690.8,446.7,23.9,8.4,agreeableness_high5_4T9UUWWRE94.000.mp4,agreeableness,high
right_cheek,1030.3,506.0,1178.3,692.3,696.2,332.8,814.6,481.8,13.0,25.5,agreeableness_high5_4T9UUWWRE94.000.mp4,agreeableness,high
right_eye,979.1,391.0,1134.4,499.4,655.3,240.8,779.5,327.6,13.6,16.6,agreeableness_high5_4T9UUWWRE94.000.mp4,agreeableness,high
chin,777.9,503.0,1134.3,788.5,494.4,330.4,779.5,558.8,19.1,21.0,agreeableness_low1_1RMdiCbNNh4.003.mp4,agreeableness,low
forehead,772.5,353.2,1138.6,679.8,490.0,210.6,782.9,471.9,14.1,18.0,agreeableness_low1_1RMdiCbNNh4.003.mp4,agreeableness,low
left_cheek,791.0,523.0,902.1,673.2,504.8,346.4,593.7,466.6,18.2,32.1,agreeableness_low1_1RMdiCbNNh4.003.mp4,agreeableness,low
left_eye,803.4,416.6,924.5,514.4,514.7,261.3,611.6,339.6,20.2,31.1,agreeableness_low1_1RMdiCbNNh4.003.mp4,agreeableness,low
mouth,883.7,632.1,1035.5,712.1,579.0,433.7,700.4,497.7,31.5,16.9,agreeableness_low1_1RMdiCbNNh4.003.mp4,agreeableness,low
nose,906.7,479.6,1008.7,617.2,597.4,311.7,679.0,421.7,17.6,18.7,agreeableness_low1_1RMdiCbNNh4.003.mp4,agreeableness,low
right_cheek,1010.5,525.7,1120.0,673.4,680.4,348.6,768.0,466.7,12.8,22.7,agreeableness_low1_1RMdiCbNNh4.003.mp4,agreeableness,low
right_eye,982.4,422.0,1104.2,515.2,657.9,265.6,755.4,340.2,21.3,19.5,agreeableness_low1_1RMdiCbNNh4.003.mp4,agreeableness,low
chin,753.7,538.2,1158.1,856.1,475.0,345.6,798.5,590.8,62.9,22.2,agreeableness_low2_oxw3nT9LSsg.000.mp4,agreeableness,low
forehead,745.1,327.8,1162.2,730.6,468.1,183.3,801.7,494.0,54.8,7.7,agreeableness_low2_oxw3nT9LSsg.000.mp4,agreeableness,low
left_cheek,772.7,552.7,891.5,733.6,490.2,356.8,585.2,496.3,31.7,18.9,agreeableness_low2_oxw3nT9LSsg.000.mp4,agreeableness,low
left_eye,789.8,415.4,920.4,527.6,503.9,250.9,608.3,337.4,17.6,13.3,agreeableness_low2_oxw3nT9LSsg.000.mp4,agreeableness,low
mouth,875.0,666.3,1042.4,769.5,572.0,444.4,705.9,524.0,21.7,11.8,agreeableness_low2_oxw3nT9LSsg.000.mp4,agreeableness,low
nose,898.3,478.1,1014.1,638.2,590.6,299.3,683.3,422.7,16.9,9.2,agreeableness_low2_oxw3nT9LSsg.000.mp4,agreeableness,low
right_cheek,1019.1,538.7,1141.2,721.4,687.3,346.0,785.0,486.9,15.3,19.0,agreeableness_low2_oxw3nT9LSsg.000.mp4,agreeableness,low
right_eye,979.1,402.7,1115.3,515.5,655.3,241.2,764.3,328.1,25.5,16.3,agreeableness_low2_oxw3nT9LSsg.000.mp4,agreeableness,low
chin,728.9,519.3,1152.6,828.3,455.1,343.4,794.0,590.6,44.4,18.9,agreeableness_low3__kK9tGN883Y.000.mp4,agreeableness,low
forehead,725.0,325.7,1153.4,691.9,452.0,188.6,794.7,481.5,42.4,13.1,agreeableness_low3__kK9tGN883Y.000.mp4,agreeableness,low
left_cheek,761.0,534.2,900.9,707.5,480.8,355.4,592.7,494.0,33.7,14.0,agreeableness_low3__kK9tGN883Y.000.mp4,agreeableness,low
left_eye,776.1,411.5,926.8,508.6,492.9,257.2,613.4,334.9,31.6,12.1,agreeableness_low3__kK9tGN883Y.000.mp4,agreeableness,low
mouth,888.6,646.7,1054.9,742.4,582.8,445.3,715.9,521.9,22.8,13.0,agreeableness_low3__kK9tGN883Y.000.mp4,agreeableness,low
nose,912.6,467.5,1035.6,620.1,602.1,302.0,700.5,424.1,22.5,11.2,agreeableness_low3__kK9tGN883Y.000.mp4,agreeableness,low
right_cheek,1034.8,520.3,1148.4,693.4,699.8,344.3,790.7,482.8,22.7,14.9,agreeableness_low3__kK9tGN883Y.000.mp4,agreeableness,low
right_eye,1003.2,402.1,1132.1,504.8,674.6,249.7,777.6,331.8,25.4,14.7,agreeableness_low3__kK9tGN883Y.000.mp4,agreeableness,low
chin,688.4,511.4,1042.0,779.2,422.7,337.2,705.6,551.4,8.8,11.3,agreeableness_low4_PHv6CzBIC5E.001.mp4,agreeableness,low
forehead,688.4,350.3,1079.3,657.1,422.7,208.3,735.4,453.7,8.8,8.3,agreeableness_low4_PHv6CzBIC5E.001.mp4,agreeableness,low
left_cheek,751.9,523.1,900.3,678.8,473.5,346.5,592.3,471.0,5.8,9.0,agreeableness_low4_PHv6CzBIC5E.001.mp4,agreeableness,low
left_eye,788.5,433.8,942.7,513.5,502.8,275.0,626.1,338.8,6.0,7.2,agreeableness_low4_PHv6CzBIC5E.001.mp4,agreeableness,low
mouth,869.5,645.7,996.5,706.2,567.6,444.6,669.2,492.9,7.9,9.5,agreeableness_low4_PHv6CzBIC5E.001.mp4,agreeableness,low
nose,913.3,481.6,1017.1,621.1,602.7,313.2,685.7,424.9,7.3,8.1,agreeableness_low4_PHv6CzBIC5E.001.mp4,agreeableness,low
right_cheek,1003.1,523.9,1070.8,670.1,674.5,347.1,728.7,464.1,5.8,4.4,agreeableness_low4_PHv6CzBIC5E.001.mp4,agreeableness,low
right_eye,989.5,429.8,1080.6,509.8,663.6,271.8,736.5,335.8,5.2,5.0,agreeableness_low4_PHv6CzBIC5E.001.mp4,agreeableness,low
chin,759.7,463.8,1164.0,778.7,479.7,299.1,803.2,551.0,10.6,8.9,agreeableness_low5_DTZeyoKUPx4.005.mp4,agreeableness,low
forehead,753.6,334.3,1167.9,638.4,474.9,195.4,806.3,438.8,7.0,5.8,agreeableness_low5_DTZeyoKUPx4.005.mp4,agreeableness,low
left_cheek,777.4,510.9,902.3,672.6,493.9,336.7,593.9,466.1,5.6,15.9,agreeableness_low5_DTZeyoKUPx4.005.mp4,agreeableness,low
left_eye,787.2,413.2,923.9,504.9,501.8,258.6,611.1,331.9,13.5,18.3,agreeableness_low5_DTZeyoKUPx4.005.mp4,agreeableness,low
mouth,896.2,653.0,1035.4,721.2,589.0,450.4,700.4,504.9,18.0,6.8,agreeableness_low5_DTZeyoKUPx4.005.mp4,agreeableness,low
nose,905.4,487.3,1022.9,632.6,596.4,317.8,690.3,434.1,9.1,7.1,agreeableness_low5_DTZeyoKUPx4.005.mp4,agreeableness,low
right_cheek,1023.6,505.9,1147.7,668.9,690.9,332.7,790.2,463.1,7.3,22.1,agreeableness_low5_DTZeyoKUPx4.005.mp4,agreeableness,low
right_eye,998.2,410.4,1135.6,502.6,670.6,256.4,780.5,330.1,13.0,12.4,agreeableness_low5_DTZeyoKUPx4.005.mp4,agreeableness,low
chin,762.2,532.7,1161.2,805.9,481.8,354.2,801.0,572.7,18.6,11.7,conscientiousness_high1_jjFzwsootdM.000.mp4,conscientiousness,high
forehead,760.0,335.7,1165.6,689.6,480.0,196.5,804.5,479.7,17.8,16.9,conscientiousness_high1_jjFzwsootdM.000.mp4,conscientiousness,high
left_cheek,775.2,526.1,893.8,685.5,492.2,348.9,587.0,476.4,16.1,17.5,conscientiousness_high1_jjFzwsootdM.000.mp4,conscientiousness,high
left_eye,793.9,389.5,924.5,510.4,507.1,239.6,611.6,336.3,18.0,22.2,conscientiousness_high1_jjFzwsootdM.000.mp4,conscientiousness,high
mouth,872.7,640.1,1033.6,723.8,570.1,440.0,698.9,507.0,22.0,25.2,conscientiousness_high1_jjFzwsootdM.000.mp4,conscientiousness,high
nose,902.9,465.4,1006.2,619.4,594.3,300.3,677.0,423.6,26.4,21.2,conscientiousness_high1_jjFzwsootdM.000.mp4,conscientiousness,high
right_cheek,1018.7,534.9,1142.7,694.9,687.0,355.9,786.2,483.9,22.6,17.9,conscientiousness_high1_jjFzwsootdM.000.mp4,conscientiousness,high
right_eye,994.0,394.7,1129.0,513.7,667.2,243.8,775.2,338.9,24.4,21.0,conscientiousness_high1_jjFzwsootdM.000.mp4,conscientiousness,high
chin,793.1,488.2,1211.5,829.4,506.5,318.6,841.2,591.5,19.5,20.8,conscientiousness_high2_OLFhKCgexRU.000.mp4,conscientiousness,high
forehead,769.4,309.0,1211.6,709.3,487.5,175.2,841.2,495.5,19.7,10.0,conscientiousness_high2_OLFhKCgexRU.000.mp4,conscientiousness,high
left_cheek,785.2,546.8,892.7,718.2,500.2,365.5,586.2,502.6,11.7,22.2,conscientiousness_high2_OLFhKCgexRU.000.mp4,conscientiousness,high
left_eye,783.3,409.8,911.1,521.7,498.6,255.8,600.9,345.3,14.4,17.3,conscientiousness_high2_OLFhKCgexRU.000.mp4,conscientiousness,high
mouth,897.0,653.4,1071.7,764.8,589.6,450.7,729.4,539.8,24.3,15.7,conscientiousness_high2_OLFhKCgexRU.000.mp4,conscientiousness,high
nose,899.1,468.5,1010.0,628.2,591.3,302.8,680.0,430.6,13.6,9.2,conscientiousness_high2_OLFhKCgexRU.000.mp4,conscientiousness,high
right_cheek,1022.3,498.7,1177.3,685.2,689.9,327.0,813.9,476.2,10.4,25.9,conscientiousness_high2_OLFhKCgexRU.000.mp4,conscientiousness,high
right_eye,967.7,371.0,1125.3,494.9,646.1,224.8,772.2,323.9,18.2,15.8,conscientiousness_high2_OLFhKCgexRU.000.mp4,conscientiousness,high
chin,770.1,529.5,1171.5,825.4,488.1,351.6,809.2,588.4,25.3,13.7,conscientiousness_high3_IMCEXoAkZv4.005.mp4,conscientiousness,high
forehead,763.9,341.3,1173.7,698.1,483.1,201.1,811.0,486.5,20.1,6.0,conscientiousness_high3_IMCEXoAkZv4.005.mp4,conscientiousness,high
left_cheek,785.4,542.6,904.4,709.5,500.3,362.1,595.5,495.6,12.6,11.8,conscientiousness_high3_IMCEXoAkZv4.005.mp4,conscientiousness,high
left_eye,800.0,427.3,932.2,517.0,512.0,269.9,617.8,341.6,11.0,12.7,conscientiousness_high3_IMCEXoAkZv4.005.mp4,conscientiousness,high
mouth,891.3,667.7,1050.0,754.4,585.1,462.1,712.0,531.5,15.5,13.0,conscientiousness_high3_IMCEXoAkZv4.005.mp4,conscientiousness,high
nose,906.9,480.4,1028.7,636.9,597.5,312.4,694.9,437.5,14.4,7.8,conscientiousness_high3_IMCEXoAkZv4.005.mp4,conscientiousness,high
right_cheek,1030.7,535.2,1152.7,703.7,696.6,356.2,794.2,491.0,12.9,12.9,conscientiousness_high3_IMCEXoAkZv4.005.mp4,conscientiousness,high
right_eye,996.5,425.8,1130.4,510.9,669.2,268.7,776.3,336.7,19.7,12.0,conscientiousness_high3_IMCEXoAkZv4.005.mp4,conscientiousness,high
chin,770.1,512.5,1162.5,807.9,488.1,338.0,802.0,574.3,14.1,11.7,conscientiousness_high4_IzKWDY_QNTU.000.mp4,conscientiousness,high
forehead,764.0,335.9,1163.7,682.4,483.2,196.7,803.0,473.9,15.4,9.9,conscientiousness_high4_IzKWDY_QNTU.000.mp4,conscientiousness,high
left_cheek,783.4,536.2,900.9,694.4,498.7,356.9,592.7,483.5,5.9,9.7,conscientiousness_high4_IzKWDY_QNTU.000.mp4,conscientiousness,high
left_eye,793.8,418.6,920.9,513.0,507.0,262.9,608.7,338.4,7.0,11.2,conscientiousness_high4_IzKWDY_QNTU.000.mp4,conscientiousness,high
mouth,888.9,649.2,1051.6,734.6,583.1,447.3,713.3,515.7,14.1,12.4,conscientiousness_high4_IzKWDY_QNTU.000.mp4,conscientiousness,high
nose,908.2,474.8,1022.6,626.3,598.6,307.8,690.1,429.0,12.9,13.2,conscientiousness_high4_IzKWDY_QNTU.000.mp4,conscientiousness,high
right_cheek,1026.4,516.3,1146.5,680.2,693.1,341.0,789.2,472.1,6.8,13.4,conscientiousness_high4_IzKWDY_QNTU.000.mp4,conscientiousness,high
right_eye,993.5,401.3,1127.3,501.4,666.8,249.0,773.8,329.1,7.2,13.9,conscientiousness_high4_IzKWDY_QNTU.000.mp4,conscientiousness,high
chin,767.0,502.3,1190.4,826.4,485.6,329.8,824.3,589.1,20.6,27.4,conscientiousness_high5_UWVOT3YPQH4.001.mp4,conscientiousness,high
forehead,754.9,320.6,1190.7,721.2,475.9,184.5,824.5,505.0,21.8,13.1,conscientiousness_high5_UWVOT3YPQH4.001.mp4,conscientiousness,high
left_cheek,780.5,553.4,906.3,726.3,496.4,370.7,597.1,509.0,20.9,19.4,conscientiousness_high5_UWVOT3YPQH4.001.mp4,conscientiousness,high
left_eye,781.7,423.0,918.6,527.9,497.3,266.4,606.9,350.4,25.7,21.6,conscientiousness_high5_UWVOT3YPQH4.001.mp4,conscientiousness,high
mouth,912.5,652.7,1078.9,750.0,602.0,450.1,735.1,528.0,36.5,22.8,conscientiousness_high5_UWVOT3YPQH4.001.mp4,conscientiousness,high
nose,919.1,475.6,1035.2,628.3,607.3,308.5,700.2,430.6,33.9,15.7,conscientiousness_high5_UWVOT3YPQH4.001.mp4,conscientiousness,high
right_cheek,1038.0,504.8,1172.2,684.0,702.4,331.8,809.8,475.2,27.4,26.7,conscientiousness_high5_UWVOT3YPQH4.001.mp4,conscientiousness,high
right_eye,990.3,385.8,1131.3,498.5,664.3,236.7,777.1,326.8,36.0,18.4,conscientiousness_high5_UWVOT3YPQH4.001.mp4,conscientiousness,high
chin,746.9,496.0,1182.3,823.3,469.5,324.8,817.8,586.6,16.6,22.4,conscientiousness_low1_iJGHwoJKEpA.002.mp4,conscientiousness,low
forehead,748.1,335.3,1194.2,720.6,470.5,196.3,827.4,504.5,16.5,12.7,conscientiousness_low1_iJGHwoJKEpA.002.mp4,conscientiousness,low
left_cheek,755.0,492.5,879.6,659.8,476.0,322.0,575.6,455.8,20.9,20.8,conscientiousness_low1_iJGHwoJKEpA.002.mp4,conscientiousness,low
left_eye,801.2,394.6,933.6,493.1,513.0,243.6,618.9,322.5,21.7,16.1,conscientiousness_low1_iJGHwoJKEpA.002.mp4,conscientiousness,low
mouth,826.8,635.1,1001.6,750.5,533.4,436.1,673.2,528.4,32.0,20.8,conscientiousness_low1_iJGHwoJKEpA.002.mp4,conscientiousness,low
nose,871.0,472.3,1000.0,614.4,568.8,305.9,672.0,419.6,31.3,14.9,conscientiousness_low1_iJGHwoJKEpA.002.mp4,conscientiousness,low
right_cheek,1017.0,555.2,1156.1,723.2,685.6,372.2,796.9,506.6,29.2,14.7,conscientiousness_low1_iJGHwoJKEpA.002.mp4,conscientiousness,low
right_eye,1006.6,431.7,1152.8,529.3,677.3,273.4,794.3,351.4,26.5,18.1,conscientiousness_low1_iJGHwoJKEpA.002.mp4,conscientiousness,low
chin,759.7,463.8,1164.0,778.7,479.7,299.1,803.2,551.0,10.6,8.9,conscientiousness_low2_DTZeyoKUPx4.005.mp4,conscientiousness,low
forehead,753.6,334.3,1167.9,638.4,474.9,195.4,806.3,438.8,7.0,5.8,conscientiousness_low2_DTZeyoKUPx4.005.mp4,conscientiousness,low
left_cheek,777.4,510.9,902.3,672.6,493.9,336.7,593.9,466.1,5.6,15.9,conscientiousness_low2_DTZeyoKUPx4.005.mp4,conscientiousness,low
left_eye,787.2,413.2,923.9,504.9,501.8,258.6,611.1,331.9,13.5,18.3,conscientiousness_low2_DTZeyoKUPx4.005.mp4,conscientiousness,low
mouth,896.2,653.0,1035.4,721.2,589.0,450.4,700.4,504.9,18.0,6.8,conscientiousness_low2_DTZeyoKUPx4.005.mp4,conscientiousness,low
nose,905.4,487.3,1022.9,632.6,596.4,317.8,690.3,434.1,9.1,7.1,conscientiousness_low2_DTZeyoKUPx4.005.mp4,conscientiousness,low
right_cheek,1023.6,505.9,1147.7,668.9,690.9,332.7,790.2,463.1,7.3,22.1,conscientiousness_low2_DTZeyoKUPx4.005.mp4,conscientiousness,low
right_eye,998.2,410.4,1135.6,502.6,670.6,256.4,780.5,330.1,13.0,12.4,conscientiousness_low2_DTZeyoKUPx4.005.mp4,conscientiousness,low
chin,711.3,533.0,1170.9,861.0,441.1,354.4,808.7,616.8,16.6,23.4,conscientiousness_low3_Jv2lyDcOmEM.002.mp4,conscientiousness,low
forehead,709.7,302.8,1180.0,719.8,439.8,170.2,816.0,503.8,16.9,10.0,conscientiousness_low3_Jv2lyDcOmEM.002.mp4,conscientiousness,low
left_cheek,735.2,528.2,879.0,717.2,460.2,350.6,575.2,501.8,22.5,18.8,conscientiousness_low3_Jv2lyDcOmEM.002.mp4,conscientiousness,low
left_eye,755.0,369.1,915.6,510.5,476.0,223.3,604.5,336.4,21.9,16.0,conscientiousness_low3_Jv2lyDcOmEM.002.mp4,conscientiousness,low
mouth,859.6,654.5,1054.8,768.5,559.7,451.6,715.8,542.8,43.0,29.2,conscientiousness_low3_Jv2lyDcOmEM.002.mp4,conscientiousness,low
nose,889.2,458.5,1037.9,630.5,583.3,294.8,702.3,432.4,42.6,13.0,conscientiousness_low3_Jv2lyDcOmEM.002.mp4,conscientiousness,low
right_cheek,1041.0,543.1,1168.8,726.2,704.8,362.5,807.0,508.9,29.1,16.6,conscientiousness_low3_Jv2lyDcOmEM.002.mp4,conscientiousness,low
right_eye,1012.3,382.9,1157.6,520.8,681.9,234.3,798.0,344.6,22.8,14.5,conscientiousness_low3_Jv2lyDcOmEM.002.mp4,conscientiousness,low
chin,822.5,525.9,1204.0,810.6,530.0,348.7,835.2,576.5,41.4,8.4,conscientiousness_low4_-fXqnCljdm0.003.mp4,conscientiousness,low
forehead,818.2,320.1,1205.2,688.5,526.6,184.1,836.2,478.8,37.8,13.3,conscientiousness_low4_-fXqnCljdm0.003.mp4,conscientiousness,low
left_cheek,796.2,516.5,864.1,674.3,509.0,341.2,563.3,467.4,39.3,10.3,conscientiousness_low4_-fXqnCljdm0.003.mp4,conscientiousness,low
left_eye,811.4,394.7,896.9,498.1,521.1,243.8,589.5,326.5,38.5,11.7,conscientiousness_low4_-fXqnCljdm0.003.mp4,conscientiousness,low
mouth,834.5,629.0,979.5,711.3,539.6,431.2,655.6,497.0,42.9,13.1,conscientiousness_low4_-fXqnCljdm0.003.mp4,conscientiousness,low
nose,843.1,450.9,954.9,597.3,546.5,288.7,635.9,405.8,45.7,12.0,conscientiousness_low4_-fXqnCljdm0.003.mp4,conscientiousness,low
right_cheek,979.2,519.4,1136.3,692.3,655.4,343.5,781.1,481.8,44.3,11.6,conscientiousness_low4_-fXqnCljdm0.003.mp4,conscientiousness,low
right_eye,950.2,385.3,1112.6,495.1,632.2,236.3,762.0,324.1,44.8,14.4,conscientiousness_low4_-fXqnCljdm0.003.mp4,conscientiousness,low
chin,753.7,538.2,1158.1,856.1,475.0,345.6,798.5,590.8,62.9,22.2,conscientiousness_low5_oxw3nT9LSsg.000.mp4,conscientiousness,low
forehead,745.1,327.8,1162.2,730.6,468.1,183.3,801.7,494.0,54.8,7.7,conscientiousness_low5_oxw3nT9LSsg.000.mp4,conscientiousness,low
left_cheek,772.7,552.7,891.5,733.6,490.2,356.8,585.2,496.3,31.7,18.9,conscientiousness_low5_oxw3nT9LSsg.000.mp4,conscientiousness,low
left_eye,789.8,415.4,920.4,527.6,503.9,250.9,608.3,337.4,17.6,13.3,conscientiousness_low5_oxw3nT9LSsg.000.mp4,conscientiousness,low
mouth,875.0,666.3,1042.4,769.5,572.0,444.4,705.9,524.0,21.7,11.8,conscientiousness_low5_oxw3nT9LSsg.000.mp4,conscientiousness,low
nose,898.3,478.1,1014.1,638.2,590.6,299.3,683.3,422.7,16.9,9.2,conscientiousness_low5_oxw3nT9LSsg.000.mp4,conscientiousness,low
right_cheek,1019.1,538.7,1141.2,721.4,687.3,346.0,785.0,486.9,15.3,19.0,conscientiousness_low5_oxw3nT9LSsg.000.mp4,conscientiousness,low
right_eye,979.1,402.7,1115.3,515.5,655.3,241.2,764.3,328.1,25.5,16.3,conscientiousness_low5_oxw3nT9LSsg.000.mp4,conscientiousness,low
chin,822.5,525.9,1204.0,810.6,530.0,348.7,835.2,576.5,41.4,8.4,emotional_stability_high1_-fXqnCljdm0.003.mp4,emotional_stability,high
forehead,818.2,320.1,1205.2,688.5,526.6,184.1,836.2,478.8,37.8,13.3,emotional_stability_high1_-fXqnCljdm0.003.mp4,emotional_stability,high
left_cheek,796.2,516.5,864.1,674.3,509.0,341.2,563.3,467.4,39.3,10.3,emotional_stability_high1_-fXqnCljdm0.003.mp4,emotional_stability,high
left_eye,811.4,394.7,896.9,498.1,521.1,243.8,589.5,326.5,38.5,11.7,emotional_stability_high1_-fXqnCljdm0.003.mp4,emotional_stability,high
mouth,834.5,629.0,979.5,711.3,539.6,431.2,655.6,497.0,42.9,13.1,emotional_stability_high1_-fXqnCljdm0.003.mp4,emotional_stability,high
nose,843.1,450.9,954.9,597.3,546.5,288.7,635.9,405.8,45.7,12.0,emotional_stability_high1_-fXqnCljdm0.003.mp4,emotional_stability,high
right_cheek,979.2,519.4,1136.3,692.3,655.4,343.5,781.1,481.8,44.3,11.6,emotional_stability_high1_-fXqnCljdm0.003.mp4,emotional_stability,high
right_eye,950.2,385.3,1112.6,495.1,632.2,236.3,762.0,324.1,44.8,14.4,emotional_stability_high1_-fXqnCljdm0.003.mp4,emotional_stability,high
chin,745.5,500.0,1134.5,793.5,468.4,328.0,779.6,562.8,5.4,6.7,emotional_stability_high2_69BopbFc34U.000.mp4,emotional_stability,high
forehead,745.0,333.6,1150.6,657.0,468.0,194.9,792.5,453.6,5.7,3.9,emotional_stability_high2_69BopbFc34U.000.mp4,emotional_stability,high
